id;created_at;updated_at;city_code;city_zip_code;city_name;county_code;county_name;region_code;region_name;lat;lon
58;2022-11-14;2022-11-14;01064;01470;Briord;01;Ain;84;Auvergne-Rhône-Alpes;45.770630041;5.485482939
59;2022-11-14;2022-11-14;01065;01310;Buellas;01;Ain;84;Auvergne-Rhône-Alpes;46.210586509;5.145274303
60;2022-11-14;2022-11-14;01066;01510;La Burbanche;01;Ain;84;Auvergne-Rhône-Alpes;45.859942755;5.545817567
61;2022-11-14;2022-11-14;01067;01430;Ceignes;01;Ain;84;Auvergne-Rhône-Alpes;46.125618677;5.495155483
62;2022-11-14;2022-11-14;01068;01450;Cerdon;01;Ain;84;Auvergne-Rhône-Alpes;46.071947147;5.476107384
63;2022-11-14;2022-11-14;01069;01240;Certines;01;Ain;84;Auvergne-Rhône-Alpes;46.13346457;5.262432008
64;2022-11-14;2022-11-14;01071;01170;Cessy;01;Ain;84;Auvergne-Rhône-Alpes;46.316089437;6.078030245
65;2022-11-14;2022-11-14;01072;01250;Ceyzériat;01;Ain;84;Auvergne-Rhône-Alpes;46.183403875;5.319678283
66;2022-11-14;2022-11-14;01073;01350;Ceyzérieu;01;Ain;84;Auvergne-Rhône-Alpes;45.833507381;5.719105551
67;2022-11-14;2022-11-14;01074;01320;Chalamont;01;Ain;84;Auvergne-Rhône-Alpes;46.007577226;5.169368719
68;2022-11-14;2022-11-14;01075;01480;Chaleins;01;Ain;84;Auvergne-Rhône-Alpes;46.03393089;4.798634776
69;2022-11-14;2022-11-14;01076;01230;Chaley;01;Ain;84;Auvergne-Rhône-Alpes;45.954366591;5.536967199
70;2022-11-14;2022-11-14;01077;01450;Challes-la-Montagne;01;Ain;84;Auvergne-Rhône-Alpes;46.122300221;5.457513206
71;2022-11-14;2022-11-14;01078;01630;Challex;01;Ain;84;Auvergne-Rhône-Alpes;46.176874001;5.971497204
72;2022-11-14;2022-11-14;01079;01260;Champagne-en-Valromey;01;Ain;84;Auvergne-Rhône-Alpes;45.93196511;5.6931331190000005
73;2022-11-14;2022-11-14;01080;01110;Champdor-Corcelles;01;Ain;84;Auvergne-Rhône-Alpes;46.028576252;5.5880089040000005
74;2022-11-14;2022-11-14;01081;01410;Champfromier;01;Ain;84;Auvergne-Rhône-Alpes;46.220471277;5.822270927
75;2022-11-14;2022-11-14;01082;01420;Chanay;01;Ain;84;Auvergne-Rhône-Alpes;46.005822693;5.768694464
76;2022-11-14;2022-11-14;01083;01990;Chaneins;01;Ain;84;Auvergne-Rhône-Alpes;46.093517041;4.854300227
77;2022-11-14;2022-11-14;01084;01400;Chanoz-Châtenay;01;Ain;84;Auvergne-Rhône-Alpes;46.185700461;5.028865152
78;2022-11-14;2022-11-14;01085;01240;La Chapelle-du-Châtelard;01;Ain;84;Auvergne-Rhône-Alpes;46.073407767;5.021766424
79;2022-11-14;2022-11-14;01087;01130;Charix;01;Ain;84;Auvergne-Rhône-Alpes;46.185606234;5.680768417
80;2022-11-14;2022-11-14;01088;01800;Charnoz-sur-Ain;01;Ain;84;Auvergne-Rhône-Alpes;45.874182776;5.221971236
81;2022-11-14;2022-11-14;01089;01500;Château-Gaillard;01;Ain;84;Auvergne-Rhône-Alpes;45.972849668;5.307314958
82;2022-11-14;2022-11-14;01090;01320;Châtenay;01;Ain;84;Auvergne-Rhône-Alpes;46.025881406;5.204590322
83;2022-11-14;2022-11-14;01092;01320;Châtillon-la-Palud;01;Ain;84;Auvergne-Rhône-Alpes;45.974829804;5.241474204
84;2022-11-14;2022-11-14;01093;01400;Châtillon-sur-Chalaronne;01;Ain;84;Auvergne-Rhône-Alpes;46.122927177;4.957950327
85;2022-11-14;2022-11-14;01094;01190;Chavannes-sur-Reyssouze;01;Ain;84;Auvergne-Rhône-Alpes;46.438056692;5.006564061
86;2022-11-14;2022-11-14;01095;01250;Nivigne et Suran;01;Ain;84;Auvergne-Rhône-Alpes;46.283759087;5.426610623
87;2022-11-14;2022-11-14;01096;01660;Chaveyriat;01;Ain;84;Auvergne-Rhône-Alpes;46.199364763;5.056028558
88;2022-11-14;2022-11-14;01098;01300;Chazey-Bons;01;Ain;84;Auvergne-Rhône-Alpes;45.800812797;5.673644385
89;2022-11-14;2022-11-14;01099;01150;Chazey-sur-Ain;01;Ain;84;Auvergne-Rhône-Alpes;45.893242753;5.254787754
90;2022-11-14;2022-11-14;01100;01510;Cheignieu-la-Balme;01;Ain;84;Auvergne-Rhône-Alpes;45.822895805;5.604830013
91;2022-11-14;2022-11-14;01101;01430;Chevillard;01;Ain;84;Auvergne-Rhône-Alpes;46.110541974;5.581393787
92;2022-11-14;2022-11-14;01102;01190;Chevroux;01;Ain;84;Auvergne-Rhône-Alpes;46.382465302;4.96295233
